Game_Id,Team,Fouls,On Target,Possession,Shots,Yellow Cards,Date
54,Arsenal,14,6,47%,11,0,2019-05-04
58,Arsenal,10,7,44%,14,0,2019-08-10
165,Arsenal,12,5,57%,14,0,2021-05-01
212,Arsenal,10,1,41%,9,0,2022-01-29
276,Arsenal,16,3,45%,8,0,2024-04-20
298,Arsenal,17,3,41%,10,1,2024-11-02
341,Arsenal,17,1,48%,7,0,2025-08-16
37,Arsenal,15,5,50%,9,0,2019-01-05
106,Arsenal,11,6,54%,12,0,2020-04-18
152,Arsenal,9,6,47%,11,1,2021-01-02
221,Arsenal,10,5,43%,11,0,2022-04-30
242,Arsenal,10,2,49%,15,0,2023-11-04
290,Arsenal,12,8,51%,12,0,2024-09-14
372,Arsenal,15,7,58%,12,1,2025-12-27
21,Arsenal,16,2,47%,13,0,2018-11-10
74,Arsenal,10,4,48%,11,1,2019-11-02
113,Arsenal,9,8,56%,19,1,2020-08-08
179,Arsenal,10,7,54%,11,1,2021-09-11
280,Arsenal,10,6,55%,18,0,2024-05-04
323,Arsenal,13,4,48%,15,2,2025-01-25
354,Arsenal,12,6,48%,16,1,2025-11-01
41,Arsenal,8,13,47%,21,1,2019-01-26
100,Arsenal,14,4,39%,10,1,2020-01-25
126,Arsenal,6,9,46%,14,0,2020-10-03
205,Arsenal,12,6,48%,10,1,2022-01-22
229,Arsenal,12,5,54%,13,2,2023-08-19
282,Arsenal,18,6,50%,16,1,2024-08-10
384,Arsenal,13,4,58%,12,0,2026-02-21
45,Arsenal,11,3,49%,9,0,2019-02-23
67,Arsenal,10,4,49%,14,1,2019-09-14
162,Arsenal,8,4,48%,10,2,2021-04-17
216,Arsenal,8,6,53%,12,0,2022-02-19
254,Arsenal,13,7,54%,15,0,2023-12-09
331,Arsenal,16,6,53%,14,1,2025-04-19
364,Arsenal,14,3,60%,12,1,2025-11-29
1,Arsenal,15,10,49%,18,2,2018-08-11
110,Arsenal,6,4,49%,13,0,2020-05-02
134,Arsenal,11,6,52%,15,1,2020-11-07
169,Arsenal,15,4,60%,15,0,2021-08-07
261,Arsenal,15,5,49%,15,0,2024-01-06
310,Arsenal,14,4,56%,18,2,2024-12-07
347,Arsenal,13,5,64%,15,0,2025-09-13
9,Arsenal,12,2,46%,10,1,2018-09-15
89,Arsenal,9,4,45%,11,1,2019-12-28
148,Arsenal,13,3,51%,12,0,2020-12-26
182,Arsenal,18,4,51%,13,1,2021-10-02
248,Arsenal,17,6,50%,8,0,2023-11-11
336,Arsenal,12,7,55%,15,2,2025-05-03
377,Arsenal,9,4,52%,11,0,2026-01-24
28,Barcelona,14,7,56%,18,3,2018-12-01
86,Barcelona,17,7,57%,15,1,2019-12-07
137,Barcelona,22,8,53%,16,3,2020-11-28
187,Barcelona,12,4,51%,16,0,2021-10-30
238,Barcelona,13,4,55%,18,0,2023-10-07
325,Barcelona,8,4,52%,9,0,2025-02-22
365,Barcelona,16,9,68%,18,1,2025-12-06
10,Barcelona,18,7,52%,16,4,2018-09-15
61,Barcelona,13,6,55%,10,1,2019-08-17
143,Barcelona,10,8,53%,13,0,2020-12-05
219,Barcelona,10,3,53%,12,2,2022-04-16
232,Barcelona,7,4,48%,11,1,2023-08-19
312,Barcelona,13,6,52%,12,2,2024-12-07
363,Barcelona,12,4,57%,12,0,2025-11-29
47,Barcelona,20,5,53%,11,0,2019-02-23
84,Barcelona,12,1,51%,7,1,2019-11-30
159,Barcelona,10,7,56%,16,0,2021-02-20
170,Barcelona,15,4,52%,12,0,2021-08-07
234,Barcelona,15,2,53%,13,2,2023-09-16
291,Barcelona,9,5,52%,10,0,2024-09-14
378,Barcelona,15,4,48%,9,2,2026-01-24
23,Barcelona,15,6,52%,10,1,2018-11-10
109,Barcelona,16,5,60%,14,0,2020-05-02
117,Barcelona,18,2,44%,11,1,2020-08-15
223,Barcelona,14,7,60%,20,0,2022-04-30
251,Barcelona,15,3,46%,16,1,2023-12-02
333,Barcelona,10,4,55%,15,1,2025-05-03
356,Barcelona,16,3,52%,10,2,2025-11-01
4,Barcelona,11,3,54%,15,1,2018-08-11
76,Barcelona,17,6,54%,15,2,2019-11-02
149,Barcelona,15,10,59%,25,2,2021-01-02
207,Barcelona,10,1,38%,8,0,2022-01-22
269,Barcelona,5,6,50%,14,0,2024-02-24
324,Barcelona,11,5,49%,11,3,2025-01-25
383,Barcelona,11,6,54%,13,3,2026-02-21
38,Barcelona,8,8,52%,15,0,2019-01-05
68,Barcelona,14,5,54%,12,2,2019-09-14
125,Barcelona,12,6,53%,13,1,2020-10-03
189,Barcelona,13,6,51%,17,1,2021-11-06
255,Barcelona,8,5,56%,16,1,2023-12-09
281,Barcelona,9,2,47%,12,1,2024-08-10
337,Barcelona,13,7,53%,15,2,2025-08-09
42,Barcelona,17,9,57%,16,2,2019-01-26
99,Barcelona,12,4,52%,8,3,2020-01-25
131,Barcelona,17,5,53%,13,3,2020-10-31
203,Barcelona,14,6,53%,16,1,2022-01-01
266,Barcelona,13,5,52%,11,0,2024-01-27
302,Barcelona,9,2,48%,9,0,2024-11-09
348,Barcelona,10,6,52%,15,1,2025-09-13
7,FC Bayern,13,5,53%,17,0,2018-08-18
82,FC Bayern,4,5,52%,14,0,2019-11-30
124,FC Bayern,18,10,54%,17,0,2020-09-12
194,FC Bayern,6,7,49%,20,1,2021-11-27
268,FC Bayern,9,4,50%,13,0,2024-01-27
317,FC Bayern,12,7,55%,12,0,2025-01-04
339,FC Bayern,15,6,55%,13,0,2025-08-09
36,FC Bayern,11,6,48%,10,0,2018-12-29
92,FC Bayern,10,1,47%,7,1,2019-12-28
115,FC Bayern,15,3,47%,14,1,2020-08-08
184,FC Bayern,16,4,49%,14,1,2021-10-02
257,FC Bayern,12,4,42%,15,0,2023-12-30
287,FC Bayern,11,6,56%,11,1,2024-08-17
391,FC Bayern,14,4,48%,12,1,2026-05-02
31,FC Bayern,14,6,46%,12,0,2018-12-08
112,FC Bayern,15,7,55%,14,1,2020-05-02
145,FC Bayern,10,3,56%,12,0,2020-12-26
211,FC Bayern,17,8,47%,14,2,2022-01-29
227,FC Bayern,17,5,54%,14,1,2023-08-12
315,FC Bayern,8,4,49%,8,3,2024-12-28
345,FC Bayern,11,5,51%,11,0,2025-09-13
27,FC Bayern,12,6,57%,11,1,2018-12-01
75,FC Bayern,9,5,55%,11,1,2019-11-02
161,FC Bayern,18,4,59%,15,0,2021-04-17
178,FC Bayern,14,11,56%,15,1,2021-09-11
272,FC Bayern,8,3,51%,6,0,2024-02-24
326,FC Bayern,13,6,52%,14,0,2025-02-22
380,FC Bayern,9,8,56%,14,3,2026-01-24
24,FC Bayern,13,7,57%,9,2,2018-11-10
97,FC Bayern,11,3,50%,8,2,2020-01-25
136,FC Bayern,13,7,63%,19,2,2020-11-07
171,FC Bayern,5,7,53%,17,0,2021-08-07
240,FC Bayern,12,8,50%,12,3,2023-10-07
335,FC Bayern,12,2,58%,9,1,2025-05-03
353,FC Bayern,17,8,57%,12,1,2025-11-01
16,FC Bayern,14,6,53%,14,1,2018-10-06
57,FC Bayern,14,6,58%,12,1,2019-08-10
168,FC Bayern,9,3,51%,10,1,2021-05-01
208,FC Bayern,8,5,44%,11,0,2022-01-22
250,FC Bayern,11,6,59%,16,2,2023-12-02
301,FC Bayern,11,3,48%,10,2,2024-11-09
382,FC Bayern,10,6,62%,16,2,2026-02-21
48,FC Bayern,10,3,56%,11,1,2019-02-23
66,FC Bayern,10,7,54%,10,1,2019-09-14
154,FC Bayern,9,1,50%,10,0,2021-01-23
214,FC Bayern,12,7,53%,16,0,2022-02-19
236,FC Bayern,21,7,61%,18,2,2023-09-16
293,FC Bayern,11,7,54%,13,0,2024-10-05
368,FC Bayern,12,5,57%,13,0,2025-12-06
49,Chelsea,13,6,47%,13,0,2019-04-20
104,Chelsea,19,3,56%,9,1,2020-02-22
142,Chelsea,15,4,53%,16,1,2020-12-05
201,Chelsea,9,6,61%,20,0,2022-01-01
252,Chelsea,11,5,53%,8,2,2023-12-02
295,Chelsea,5,6,57%,15,0,2024-10-05
387,Chelsea,17,9,60%,25,2,2026-04-18
17,Chelsea,10,4,56%,10,1,2018-11-03
105,Chelsea,12,3,53%,9,1,2020-04-18
135,Chelsea,14,6,55%,20,0,2020-11-07
197,Chelsea,10,6,44%,12,0,2021-12-04
263,Chelsea,7,2,45%,9,2,2024-01-06
318,Chelsea,11,3,53%,19,1,2025-01-04
349,Chelsea,12,7,65%,11,0,2025-10-04
3,Chelsea,9,6,45%,15,1,2018-08-11
77,Chelsea,10,4,41%,9,0,2019-11-09
118,Chelsea,10,8,52%,11,1,2020-08-15
188,Chelsea,16,3,53%,16,5,2021-10-30
256,Chelsea,16,7,55%,19,3,2023-12-09
283,Chelsea,15,5,57%,16,1,2024-08-10
374,Chelsea,13,5,53%,13,0,2026-01-03
12,Chelsea,11,4,57%,15,1,2018-09-15
65,Chelsea,8,5,49%,7,0,2019-09-14
150,Chelsea,16,5,54%,11,1,2021-01-02
191,Chelsea,10,10,56%,19,1,2021-11-06
243,Chelsea,14,5,57%,12,0,2023-11-04
303,Chelsea,11,5,51%,17,0,2024-11-09
371,Chelsea,7,6,46%,14,2,2025-12-27
44,Chelsea,8,6,55%,13,0,2019-01-26
91,Chelsea,11,2,54%,17,0,2019-12-28
128,Chelsea,18,6,49%,12,1,2020-10-03
222,Chelsea,8,3,53%,13,0,2022-04-30
230,Chelsea,12,5,53%,16,1,2023-08-19
309,Chelsea,12,8,53%,19,1,2024-12-07
342,Chelsea,9,7,48%,16,1,2025-08-16
55,Chelsea,11,4,51%,10,1,2019-05-04
98,Chelsea,6,3,50%,14,1,2020-01-25
164,Chelsea,10,6,56%,15,0,2021-04-17
220,Chelsea,13,4,54%,11,1,2022-04-16
246,Chelsea,11,7,58%,18,0,2023-11-11
334,Chelsea,13,7,53%,17,1,2025-05-03
392,Chelsea,13,3,55%,13,0,2026-05-02
39,Chelsea,11,4,54%,11,2,2019-01-05
59,Chelsea,17,5,42%,10,2,2019-08-10
166,Chelsea,13,7,52%,15,2,2021-05-01
174,Chelsea,11,9,56%,19,1,2021-08-14
274,Chelsea,9,8,59%,22,0,2024-04-20
327,Chelsea,11,4,51%,18,0,2025-02-22
358,Chelsea,10,6,48%,14,1,2025-11-08
14,Juventus,16,9,62%,20,2,2018-10-06
70,Juventus,13,0,47%,5,1,2019-10-05
153,Juventus,10,10,52%,18,2,2021-01-23
176,Juventus,15,5,52%,14,1,2021-08-14
260,Juventus,12,4,48%,9,1,2023-12-30
313,Juventus,9,4,38%,9,0,2024-12-28
357,Juventus,15,5,58%,13,1,2025-11-08
52,Juventus,11,7,51%,12,2,2019-04-20
80,Juventus,23,5,42%,8,3,2019-11-09
147,Juventus,18,5,51%,18,1,2020-12-26
196,Juventus,16,4,52%,22,1,2021-11-27
278,Juventus,9,7,53%,12,1,2024-05-04
305,Juventus,8,5,49%,13,1,2024-11-30
386,Juventus,13,6,53%,10,2,2026-04-18
56,Juventus,12,8,52%,12,1,2019-05-04
101,Juventus,19,5,51%,10,1,2020-02-22
129,Juventus,13,8,47%,17,0,2020-10-31
202,Juventus,18,5,46%,12,1,2022-01-01
247,Juventus,11,3,47%,15,1,2023-11-11
299,Juventus,8,2,58%,12,1,2024-11-02
350,Juventus,15,4,53%,14,1,2025-10-04
34,Juventus,14,11,51%,22,1,2018-12-29
95,Juventus,13,7,53%,15,2,2020-01-04
123,Juventus,14,6,55%,15,1,2020-09-12
213,Juventus,10,7,53%,18,3,2022-02-19
265,Juventus,13,3,49%,12,0,2024-01-27
332,Juventus,7,3,43%,11,0,2025-04-19
338,Juventus,8,2,67%,15,0,2025-08-09
40,Juventus,12,12,57%,21,2,2019-01-05
60,Juventus,13,6,43%,13,1,2019-08-10
167,Juventus,10,2,49%,6,1,2021-05-01
181,Juventus,9,2,44%,12,2,2021-10-02
235,Juventus,11,2,40%,7,1,2023-09-16
292,Juventus,16,4,51%,8,2,2024-09-14
375,Juventus,13,4,62%,12,0,2026-01-03
19,Juventus,16,5,52%,16,1,2018-11-03
90,Juventus,11,5,50%,16,1,2019-12-28
116,Juventus,12,6,56%,20,1,2020-08-08
185,Juventus,12,5,55%,12,0,2021-10-30
273,Juventus,14,5,52%,10,1,2024-04-20
321,Juventus,12,2,53%,10,0,2025-01-25
367,Juventus,13,5,51%,11,0,2025-12-06
2,Juventus,12,11,50%,17,2,2018-08-11
108,Juventus,12,9,52%,19,0,2020-04-18
157,Juventus,11,7,53%,16,2,2021-02-20
200,Juventus,11,7,52%,20,0,2021-12-04
225,Juventus,11,3,46%,9,1,2023-08-12
285,Juventus,13,4,51%,11,0,2024-08-17
390,Juventus,10,5,52%,15,0,2026-05-02
20,Liverpool,12,5,51%,13,2,2018-11-03
94,Liverpool,11,10,60%,19,0,2020-01-04
132,Liverpool,10,4,47%,12,1,2020-10-31
190,Liverpool,15,7,51%,15,3,2021-11-06
226,Liverpool,2,9,69%,20,1,2023-08-12
304,Liverpool,12,4,46%,11,2,2024-11-09
389,Liverpool,13,3,52%,11,1,2026-05-02
29,Liverpool,7,5,49%,16,0,2018-12-08
102,Liverpool,10,5,50%,15,2,2020-02-22
121,Liverpool,12,4,43%,9,1,2020-09-12
175,Liverpool,16,7,54%,13,2,2021-08-14
245,Liverpool,7,6,47%,10,1,2023-11-11
296,Liverpool,11,8,54%,22,1,2024-10-05
359,Liverpool,16,8,60%,19,0,2025-11-08
51,Liverpool,16,3,52%,16,1,2019-04-20
69,Liverpool,8,7,49%,15,0,2019-10-05
160,Liverpool,11,5,55%,14,0,2021-02-20
199,Liverpool,17,6,49%,12,2,2021-12-04
275,Liverpool,11,6,53%,11,0,2024-04-20
308,Liverpool,10,7,40%,12,1,2024-11-30
385,Liverpool,7,5,43%,14,0,2026-04-18
15,Liverpool,16,4,46%,10,1,2018-10-06
64,Liverpool,8,9,56%,12,0,2019-08-17
156,Liverpool,10,5,46%,8,1,2021-01-23
195,Liverpool,7,4,61%,8,1,2021-11-27
258,Liverpool,10,3,49%,7,0,2023-12-30
286,Liverpool,13,8,54%,21,1,2024-08-17
366,Liverpool,12,4,48%,7,0,2025-12-06
5,Liverpool,14,6,57%,13,1,2018-08-18
88,Liverpool,7,1,53%,11,1,2019-12-07
140,Liverpool,13,12,61%,20,1,2020-11-28
217,Liverpool,11,2,47%,5,0,2022-04-16
264,Liverpool,8,3,54%,17,1,2024-01-06
320,Liverpool,10,6,51%,15,3,2025-01-04
346,Liverpool,5,2,60%,12,0,2025-09-13
35,Liverpool,9,1,54%,10,4,2018-12-29
107,Liverpool,12,8,65%,15,2,2020-04-18
146,Liverpool,16,8,65%,15,2,2020-12-26
204,Liverpool,10,4,60%,15,1,2022-01-01
241,Liverpool,15,5,49%,13,0,2023-11-04
328,Liverpool,14,7,63%,18,2,2025-02-22
379,Liverpool,6,8,53%,13,0,2026-01-24
26,Liverpool,9,5,47%,13,0,2018-12-01
79,Liverpool,14,4,53%,15,1,2019-11-09
114,Liverpool,10,4,50%,11,1,2020-08-08
186,Liverpool,14,7,55%,18,1,2021-10-30
277,Liverpool,15,9,55%,17,3,2024-05-04
316,Liverpool,6,5,56%,11,0,2024-12-28
340,Liverpool,9,4,46%,13,0,2025-08-09
32,Man Utd,12,6,48%,10,1,2018-12-08
78,Man Utd,20,6,64%,15,2,2019-11-09
158,Man Utd,9,3,43%,17,0,2021-02-20
198,Man Utd,12,9,56%,16,1,2021-12-04
233,Man Utd,13,5,52%,14,0,2023-09-16
288,Man Utd,5,7,57%,21,1,2024-08-17
376,Man Utd,15,4,56%,11,1,2026-01-03
8,Man Utd,16,4,45%,9,0,2018-08-18
96,Man Utd,16,2,57%,16,4,2020-01-04
155,Man Utd,13,5,50%,13,0,2021-01-23
215,Man Utd,9,7,49%,16,1,2022-02-19
228,Man Utd,20,7,47%,11,2,2023-08-12
314,Man Utd,16,6,54%,11,1,2024-12-28
369,Man Utd,16,4,58%,14,1,2025-12-27
43,Man Utd,10,6,55%,20,2,2019-01-26
85,Man Utd,25,10,54%,15,3,2019-12-07
139,Man Utd,16,6,52%,12,3,2020-11-28
173,Man Utd,11,7,59%,15,0,2021-08-14
279,Man Utd,14,3,53%,14,0,2024-05-04
329,Man Utd,17,12,53%,21,2,2025-04-19
360,Man Utd,16,7,53%,16,2,2025-11-08
25,Man Utd,13,5,38%,10,1,2018-12-01
72,Man Utd,23,3,54%,6,2,2019-10-05
130,Man Utd,12,10,47%,17,0,2020-10-31
183,Man Utd,12,4,54%,9,0,2021-10-02
271,Man Utd,18,5,51%,11,1,2024-02-24
307,Man Utd,11,5,47%,18,1,2024-11-30
361,Man Utd,10,6,43%,14,1,2025-11-29
46,Man Utd,17,7,57%,13,2,2019-02-23
62,Man Utd,16,4,53%,7,2,2019-08-17
141,Man Utd,11,5,51%,13,1,2020-12-05
209,Man Utd,9,6,48%,11,2,2022-01-29
239,Man Utd,12,6,48%,16,1,2023-10-07
294,Man Utd,13,6,48%,16,2,2024-10-05
343,Man Utd,10,2,40%,9,0,2025-08-16
11,Man Utd,15,3,48%,11,0,2018-09-15
81,Man Utd,10,2,55%,9,1,2019-11-30
120,Man Utd,16,6,56%,10,0,2020-08-15
177,Man Utd,8,4,41%,10,0,2021-09-11
267,Man Utd,10,2,48%,7,0,2024-01-27
300,Man Utd,13,3,57%,17,3,2024-11-02
351,Man Utd,10,5,48%,11,0,2025-10-04
22,Man Utd,14,4,58%,17,0,2018-11-10
103,Man Utd,16,5,51%,10,2,2020-02-22
122,Man Utd,9,6,48%,14,1,2020-09-12
193,Man Utd,11,9,52%,19,0,2021-11-27
259,Man Utd,12,6,56%,17,2,2023-12-30
319,Man Utd,16,5,50%,17,3,2025-01-04
388,Man Utd,13,3,51%,10,0,2026-04-18
33,R. Madrid,13,2,47%,10,1,2018-12-29
63,R. Madrid,19,8,46%,16,0,2019-08-17
119,R. Madrid,11,5,49%,9,2,2020-08-15
218,R. Madrid,12,4,52%,13,2,2022-04-16
270,R. Madrid,11,7,59%,14,1,2024-02-24
306,R. Madrid,13,6,53%,14,1,2024-11-30
352,R. Madrid,13,5,48%,10,0,2025-10-04
13,R. Madrid,17,5,42%,16,2,2018-10-06
71,R. Madrid,19,8,57%,18,0,2019-10-05
163,R. Madrid,11,6,51%,10,0,2021-04-17
180,R. Madrid,15,4,53%,10,1,2021-09-11
244,R. Madrid,16,7,47%,14,1,2023-11-04
330,R. Madrid,11,7,57%,18,0,2025-04-19
373,R. Madrid,9,1,50%,9,2,2026-01-03
18,R. Madrid,16,7,51%,17,0,2018-11-03
93,R. Madrid,13,5,51%,12,0,2020-01-04
127,R. Madrid,20,10,56%,21,1,2020-10-03
192,R. Madrid,12,7,51%,17,1,2021-11-06
262,R. Madrid,8,6,59%,16,0,2024-01-06
322,R. Madrid,11,3,46%,11,1,2025-01-25
344,R. Madrid,12,2,55%,13,0,2025-08-16
6,R. Madrid,16,7,53%,21,1,2018-08-18
87,R. Madrid,16,6,49%,9,0,2019-12-07
138,R. Madrid,16,9,56%,15,3,2020-11-28
206,R. Madrid,9,6,57%,13,0,2022-01-22
237,R. Madrid,10,5,46%,12,1,2023-10-07
297,R. Madrid,12,10,57%,19,0,2024-11-02
381,R. Madrid,11,5,51%,14,2,2026-02-21
30,R. Madrid,15,8,52%,14,3,2018-12-08
83,R. Madrid,27,6,55%,16,4,2019-11-30
133,R. Madrid,12,10,48%,19,2,2020-11-07
172,R. Madrid,15,8,52%,13,1,2021-08-07
253,R. Madrid,9,6,51%,10,1,2023-12-09
311,R. Madrid,14,6,49%,11,2,2024-12-07
362,R. Madrid,15,5,53%,15,3,2025-11-29
53,R. Madrid,15,4,56%,13,2,2019-05-04
111,R. Madrid,14,5,50%,12,0,2020-05-02
144,R. Madrid,13,5,58%,14,2,2020-12-05
210,R. Madrid,14,5,43%,10,4,2022-01-29
249,R. Madrid,6,5,45%,11,1,2023-12-02
284,R. Madrid,6,3,47%,13,1,2024-08-10
370,R. Madrid,13,4,49%,12,1,2025-12-27
50,R. Madrid,20,2,54%,11,1,2019-04-20
73,R. Madrid,20,8,59%,16,1,2019-11-02
151,R. Madrid,15,6,62%,20,1,2021-01-02
224,R. Madrid,12,3,47%,11,0,2022-04-30
231,R. Madrid,13,3,43%,9,0,2023-08-19
